,tweets,likes,time
136,"@UpNorthRN1978 Good afternoon, Carolyn. If you wouldn’t mind sending me over your VIN and mileage in a DM, I‘d be happy to look into this situation for you.",0,2021-06-16 19:22:17
137,@veejax64 Good afternoon – feel free to send us a DM with your VIN and approximate mileage. I’d be happy to look into this for you.,0,2021-06-16 18:34:43
138,@TheSaidDeep 118 years proud. To more ahead. 💪,2,2021-06-16 16:38:03
139,"@FordChile We appreciate the love, Ford family. 💪 #WeAreFord",5,2021-06-16 14:42:19
140,"@addos The future is here and now, Bradley. 💪😎",4,2021-06-16 14:40:32
141,"@StanleySilverm7 We're proud to keep expanding the Ford family, Stan. 😎",1,2021-06-16 14:38:28
142,@xG_host 118 years strong. 💪😎,6,2021-06-16 14:37:10
143,"@tedryan64 Thank you. We appreciate it, Ted. 💪",1,2021-06-16 14:30:41
144,@nschrandt Good morning! Please send us a DM with more information regarding this situation with your truck. I would like to look into a few things on my end for you.,0,2021-06-16 14:26:34
145,@MomSwipes Would you please send us a DM with your VIN and current mileage so I can do a little more research on my end for you?,0,2021-06-16 14:25:49
146,"@Zorrilla_Andres Thank you, Andrés. #BuiltFordProud, always. 💪",1,2021-06-16 14:23:56
147,"@MyeongKim6 We appreciate the love and support, Myeong. 💪",2,2021-06-16 14:17:52
148,"118 years in – and no plans to slow down. ​

We’ve always worked to build a better world where everyone, everywhere, is free to move and pursue their dreams. Here’s to the next 118! https://t.co/xh9u4Js8jl",570,2021-06-16 14:15:29
149,@HeyMrsConnors Hello. Could you send us a DM explaining more of the problem you are experiencing? I can assist you more from there.,0,2021-06-16 13:48:29
150,"@Bessette20 Good afternoon, Jon. Would you mind sending us a DM with some additional details about your concern? I‘d be happy to look into this situation for you.",0,2021-06-15 21:18:52
151,@Tara_McC Hello Tara. Could you please send us a DM explaining a little bit more about the trouble you're experiencing? I can assist you further from there.,0,2021-06-15 20:44:12
152,@f150_mack Sounds good. I suggest continuing working with him for further assistance.,0,2021-06-15 19:39:48
153,@Brownie0701 Hello. Could you please send us a DM with some additional details about your concern? I can assist you further from there.,0,2021-06-15 18:43:22
154,"@f150_mack Hello, Mac. Could you send us a direct message with more information about the part you are waiting for your vehicle repair, as well as your VIN and current mileage? We want to take a closer look. Thank you.",0,2021-06-15 17:47:45
155,"@trick_m0nkey Good afternoon. If you wouldn’t mind sending me over your VIN and mileage in a DM, I‘d be happy to look into this situation for you.",1,2021-06-15 17:15:03
156,"There has been zero range anxiety with Blue Oval™ Charge Network, the largest public charging network in North America offered by automotive manufacturers, and 16,000+ charging stations.",74,2021-06-15 16:18:47
157,"From New York to Florida and back up to Washington, D.C., the Ocean to Ocean Reimagined #MustangMachE has traveled over 1,600 miles through nine states so far. https://t.co/UJCQijoxE3",356,2021-06-15 16:18:23
158,"@Agustin24441207 Good morning, Agustin. If you wouldn’t mind sending me over your VIN and mileage in a DM, I‘d be happy to look into this situation for you.",0,2021-06-15 14:07:45
159,"@SethGre41738852 Good morning, Seth! Please send us a DM with more information about what is going on with your SYNC system. I would like to look into a few things on my end for you.",0,2021-06-15 13:50:24
160,@Rickdeliaphoto Hello. Could you send us a DM explaining more of your concern? I can assist you further from there.,0,2021-06-15 13:26:35
161,@adam_singletary Good morning. I would like to look into this concern you are having. Can you send us a direct message with your VIN so we can get started?,0,2021-06-15 13:05:32
