,tweets,likes,time
84,"“There are a lot of people who think like us, that we can be better. We can live together in a more harmonious way.” - Actor, director and producer @danieldaekim in a recent episode of #TalksAtGS: https://t.co/RzVpQ4G4A4 https://t.co/GeUufBzZvC",9,2021-06-09 16:00:21
85,"RT @GS10KSmallBiz: Congratulations to the newest graduates of 10,000 Small Businesses in Baltimore, Cleveland, and Dallas! Last night we ce…",0,2021-06-09 00:08:20
86,What’s fueling the sharp uptick in industrial IPOs? $GS' Matt McClure explains how companies are capitalizing on investor appetite on this episode of Exchanges at Goldman Sachs: https://t.co/ColYEjLpTX https://t.co/OSSduC2Mkb,9,2021-06-08 21:11:56
87,"This #WorldOceansDay, hear @LewisPugh, endurance swimmer and @UN patron of the oceans, discuss the actions needed to revitalize our planet's oceans and marine wildlife in a #TalksAtGS: https://t.co/uj9uUDfohW https://t.co/XSSoJkX3mb",18,2021-06-08 14:31:09
88,RT @GolfDigest: Congratulations to @Marcus ambassador @Patrick_Cantlay for winning his fourth PGA Tour title at the Memorial Tournament. #s…,0,2021-06-08 13:54:03
89,"Journalist and author, @Gladwell, discusses how human interaction and discussions are the foundation for any idea to evolve into a revolution in a #TalksAtGS with $GS' chief financial officer Stephen Scherr: https://t.co/9fvabvYG56 https://t.co/a4iZtiSLli",17,2021-06-08 13:19:31
90,"RT @FintechTvGlobal: ""I am committed to making this rareness not so rare,"" says @Asahi_Pompey, President of @GoldmanSachs Foundation on #Fa…",0,2021-06-07 19:33:21
91,RT @GSCareers: Happy first day to our incoming interns! Drop a reply if you’re joining us this summer. 👇,0,2021-06-07 18:02:39
92,"John F. Crowley, chairman and CEO of Amicus Therapeutics, discusses leading the biotech company throughout the pandemic in a #TalksAtGS: https://t.co/UABrVvjF0Z https://t.co/lOXI2s3l3e",13,2021-06-06 15:00:32
93,"“She's historic… she's the first woman to serve as speaker of the House. She’s the highest ranking, the most powerful woman in American history.” - @USATODAY Washington bureau chief and biographer, @SusanPage, in a recent #TalksAtGS: https://t.co/99Ktvwu1gY https://t.co/zTA1mkEZpm",27,2021-06-05 15:00:25
94,What technology is required for China to achieve carbon neutrality by 2060? $GS' Trina Chen discusses in this episode of The Daily Check-In: https://t.co/qSHsEoP48c https://t.co/I2oxzeKl5L,12,2021-06-04 23:00:40
95,"Steel, cement, aluminum, and chemicals account for nearly 40% of China’s total carbon emissions. $GS' Trina Chen discusses China’s pledge to become carbon neutral on The Daily Check-In: https://t.co/WCbdHm8RKg https://t.co/sAe3dTQqLp",20,2021-06-04 18:00:27
96,"Follow us on @Clubhouse and sign up for our upcoming room, The Future of Tech IPOs. Join $GS experts from Investment Banking &amp; Global Markets for a Tech IPO breakdown: unicorns, direct listings, lock ups, SPACs and what’s next on June 10th at 1PM ET. https://t.co/llGht4fG4k https://t.co/n3pkWYVah4",11,2021-06-03 19:54:06
97,"“It's not a race. We want to do things right… but I can see for the first time momentum really picking up.” - President and CEO of @CruiseNorwegian, Frank Del Rio, in a #TalksAtGS: https://t.co/cYvynMuWpW https://t.co/hNswcyxFKn",14,2021-06-03 15:00:19
98,$GS' Allison Nathan looks at whether cryptos can and should be an institutional asset class with leading investors in the space in an Exchanges at Goldman Sachs: https://t.co/tVqGNJ51Hf https://t.co/2NUCXNuOTp,20,2021-06-02 16:00:11
99,"Economist and author of ""How Boards Work,"" @dambisamoyo, shares her perspective on the state of the world’s economy as the pandemic continues in a #TalksAtGS with $GS' president and COO John Waldron: https://t.co/MvPHUGFVGQ https://t.co/XbtjifoFWM",6,2021-06-02 13:00:27
100,"$GS co-head of Investment Strategy Group in our Asia Private Wealth Management business, Shengzu Wang, discusses the investment outlook for the US and China on @BloombergTV https://t.co/3T8slXyNv8",14,2021-06-02 11:49:41
101,Happy #Pride Month! We're proud to celebrate with the LGBTQIA+ community as we continue to champion a more inclusive workplace and society. https://t.co/X1X3MmR1uj,54,2021-06-01 21:30:25
